method,seed,num_slices,num_vnfs_per_slice,slice_id,vnf,node,next_vnf,next_node,link_u,link_v,flow
MILP_Sequential,1,8,2,0,vnf0_0,1,vnf0_1,6,1,2,30.0
MILP_Sequential,1,8,2,0,vnf0_0,1,vnf0_1,6,2,6,30.0
MILP_Sequential,1,8,2,1,vnf1_0,1,vnf1_1,6,1,2,30.0
MILP_Sequential,1,8,2,1,vnf1_0,1,vnf1_1,6,2,6,30.0
MILP_Sequential,1,8,2,2,vnf2_0,1,vnf2_1,6,1,2,30.0
MILP_Sequential,1,8,2,2,vnf2_0,1,vnf2_1,6,2,6,30.0
MILP_Sequential,1,8,2,3,vnf3_0,1,vnf3_1,6,1,2,30.0
MILP_Sequential,1,8,2,3,vnf3_0,1,vnf3_1,6,2,6,30.0
MILP_Sequential,1,8,2,4,vnf4_0,1,vnf4_1,6,1,2,30.0
MILP_Sequential,1,8,2,4,vnf4_0,1,vnf4_1,6,2,6,30.0
MILP_Sequential,1,8,2,5,vnf5_0,1,vnf5_1,6,1,2,30.0
MILP_Sequential,1,8,2,5,vnf5_0,1,vnf5_1,6,2,6,30.0
MILP_Sequential,1,8,2,6,vnf6_0,1,vnf6_1,6,1,2,30.0
MILP_Sequential,1,8,2,6,vnf6_0,1,vnf6_1,6,2,6,30.0
MILP_Sequential,1,8,2,7,vnf7_0,1,vnf7_1,6,1,2,30.0
MILP_Sequential,1,8,2,7,vnf7_0,1,vnf7_1,6,2,6,30.0
MILP_Sequential,1,8,3,0,vnf0_0,1,vnf0_1,2,1,2,30.0
MILP_Sequential,1,8,3,0,vnf0_1,2,vnf0_2,6,2,6,40.0
MILP_Sequential,1,8,3,1,vnf1_0,1,vnf1_1,2,1,2,30.0
MILP_Sequential,1,8,3,1,vnf1_1,2,vnf1_2,6,2,6,40.0
MILP_Sequential,1,8,3,2,vnf2_0,1,vnf2_1,2,1,2,30.0
MILP_Sequential,1,8,3,2,vnf2_1,2,vnf2_2,6,2,6,40.0
MILP_Sequential,1,8,3,3,vnf3_0,1,vnf3_1,2,1,2,30.0
MILP_Sequential,1,8,3,3,vnf3_1,2,vnf3_2,6,2,6,40.0
MILP_Sequential,1,8,3,4,vnf4_0,1,vnf4_1,2,1,2,30.0
MILP_Sequential,1,8,3,4,vnf4_1,2,vnf4_2,6,2,6,40.0
MILP_Sequential,1,8,3,5,vnf5_0,1,vnf5_1,6,1,2,30.0
MILP_Sequential,1,8,3,5,vnf5_0,1,vnf5_1,6,2,6,30.0
MILP_Sequential,1,8,3,5,vnf5_1,6,vnf5_2,11,6,7,40.0
MILP_Sequential,1,8,3,5,vnf5_1,6,vnf5_2,11,7,8,40.0
MILP_Sequential,1,8,3,5,vnf5_1,6,vnf5_2,11,8,11,40.0
MILP_Sequential,1,8,3,6,vnf6_0,1,vnf6_1,6,1,2,30.0
MILP_Sequential,1,8,3,6,vnf6_0,1,vnf6_1,6,2,6,30.0
MILP_Sequential,1,8,3,6,vnf6_1,6,vnf6_2,11,6,7,40.0
MILP_Sequential,1,8,3,6,vnf6_1,6,vnf6_2,11,7,8,40.0
MILP_Sequential,1,8,3,6,vnf6_1,6,vnf6_2,11,8,11,40.0
MILP_Sequential,1,8,3,7,vnf7_0,1,vnf7_1,6,1,2,30.0
MILP_Sequential,1,8,3,7,vnf7_0,1,vnf7_1,6,2,6,30.0
MILP_Sequential,1,8,3,7,vnf7_1,6,vnf7_2,11,6,7,40.0
MILP_Sequential,1,8,3,7,vnf7_1,6,vnf7_2,11,7,8,40.0
MILP_Sequential,1,8,3,7,vnf7_1,6,vnf7_2,11,8,11,40.0
